Enter the number of max entries to sort: 10000
The maximum sample data size is 10000

	insertionSort(): already sorted - best case.
	Data will NOT be randomized before use.
         n	 repetitions	   sort(sec)
       500	      159082	    0.000006
       600	      121833	    0.000008
       700	      183699	    0.000005
       800	      248664	    0.000004
       900	      235518	    0.000004
      1000	      211226	    0.000005
      2000	      126867	    0.000008
      3000	       87325	    0.000011
      4000	       68859	    0.000015
      5000	       54300	    0.000018
      6000	       46444	    0.000022
      7000	       33670	    0.000030
      8000	       34971	    0.000029
      9000	       29769	    0.000034
     10000	       27439	    0.000036

	insertionSort(): randomized - average case.
	Randomized Data will be used during sorting.
         n	 repetitions	   sort(sec)
       500	        6377	    0.000157
       600	        4446	    0.000225
       700	        3203	    0.000312
       800	        2155	    0.000464
       900	        1985	    0.000504
      1000	        1671	    0.000598
      2000	         407	    0.002459
      3000	         198	    0.005076
      4000	         107	    0.009411
      5000	          67	    0.014985
      6000	          48	    0.021062
      7000	          36	    0.027861
      8000	          28	    0.036964
      9000	          22	    0.046182
     10000	          18	    0.058333

	insertionSort(): sorted reversed - worst case.
	Data will NOT be randomized before use.
         n	 repetitions	   sort(sec)
       500	        3206	    0.000312
       600	        2050	    0.000488
       700	        1675	    0.000597
       800	        1194	    0.000838
       900	         864	    0.001157
      1000	         814	    0.001229
      2000	         204	    0.004902
      3000	          84	    0.011976
      4000	          46	    0.022087
      5000	          26	    0.038654
      6000	          24	    0.042792
      7000	          17	    0.060941
      8000	          12	    0.087250
      9000	          10	    0.100800
     10000	           8	    0.127000

	quickSort()	: randomized - average case.
	Randomized Data will be used during sorting.
         n	 repetitions	   sort(sec)
       500	       23002	    0.000043
       600	       16422	    0.000061
       700	       15319	    0.000065
       800	       13037	    0.000077
       900	       10702	    0.000093
      1000	       10123	    0.000099
      2000	        4031	    0.000248
      3000	        2629	    0.000380
      4000	        1947	    0.000514
      5000	        1448	    0.000691
      6000	        1198	    0.000835
      7000	         999	    0.001001
      8000	         832	    0.001202
      9000	         727	    0.001377
     10000	         504	    0.001986

	quickSort(): already sorted - worst case.
	Data will NOT be randomized before use.
         n	 repetitions	   sort(sec)
       500	        1036	    0.000965
       600	         721	    0.001388
       700	         535	    0.001869
       800	         381	    0.002625
       900	         295	    0.003390
      1000	         240	    0.004179
      2000	          63	    0.016095
      3000	          26	    0.038769
      4000	          17	    0.062176
      5000	          11	    0.098636
      6000	           8	    0.142250
      7000	           6	    0.184333
      8000	           4	    0.251250
      9000	           3	    0.336000
     10000	           3	    0.371000
